player,date,time,item,itemID,itemString,response,votes,class,instance,boss,gear1,gear2,responseID,isAwardReason,rollType,subType,equipLoc,note,owner
Booster-Netherwind,3/22/20,20:17:50,[The Eye of Divinity],18646,item:18646::::::::60,Best Available,8,PRIEST,Molten Core-40 Player,Majordomo Executus,[Royal Seal of Eldre'Thalas],[Mindtap Talisman],1,FALSE,normal,Miscellaneous,Trinket,,Majordomo Executus
Booster-Netherwind,3/26/20,19:44:43,[Scarlet Kris],5267,item:5267::::::::60,Offspec / PvP,0,PRIEST,Onyxia's Lair-40 Player,Onyxia,[Benediction],,4,FALSE,normal,Daggers,One-Hand,,Onyxia
Booster-Netherwind,3/26/20,19:48:35,[Mature Black Dragon Sinew],18705,item:18705::::::::60,Pass,0,PRIEST,Onyxia's Lair-40 Player,Onyxia,,,PASS,FALSE,normal,Quest,,,Onyxia
Booster-Netherwind,3/15/20,21:28:13,[Hyperion Legplates of the Whale],10389,item:10389::::::1063:254317952:60,Offspec / PvP,0,PRIEST,Onyxia's Lair-40 Player,Onyxia,[Leggings of Transcendence],,4,FALSE,normal,Plate,Legs,,Onyxia
Booster-Netherwind,04/05/20,20:04:10,[Aegis of Preservation],19345,item:19345::::::::60,Offspec / PvP,5,PRIEST,Blackwing Lair-40 Player,Ebonroc,[Royal Seal of Eldre'Thalas],[Mindtap Talisman],4,FALSE,normal,Miscellaneous,Trinket,"garbage, might try for pvp",Ebonroc
Booster-Netherwind,04/05/20,20:49:36,[Handguards of Transcendence],16920,item:16920::::::::60,Best Available,5,PRIEST,Blackwing Lair-40 Player,Flamegor,[Gloves of Prophecy],,1,FALSE,normal,Cloth,Hands,,Flamegor
Booster-Netherwind,04/05/20,21:26:37,[Halo of Transcendence],16921,item:16921::::::::60,Best Available,3,PRIEST,Onyxia's Lair-40 Player,Onyxia,[Green Lens of Healing],,1,FALSE,normal,Cloth,Head,,Onyxia
Booster-Netherwind,04/09/20,19:37:00,[Schematic: Core Marksman Rifle],18292,item:18292::::::::60,Mainspec /Need,3,PRIEST,Molten Core-40 Player,Magmadar,,,2,FALSE,normal,Engineering,,,Magmadar
Booster-Netherwind,04/09/20,21:41:29,[Shell Launcher Shotgun],13146,item:13146::::::::60,Guild Bank,0,PRIEST,Molten Core-40 Player,Ragnaros,[Bonecreeper Stylus],,2,TRUE,normal,Guns,,,Ragnaros
Booster-Netherwind,04/09/20,21:41:43,[Windrunner Legguards],13130,item:13130::::::::60,Guild Bank,0,PRIEST,Molten Core-40 Player,Ragnaros,[Leggings of Transcendence],,2,TRUE,normal,Mail,Legs,,Ragnaros
Booster-Netherwind,4/30/20,20:07:22,[Boots of Prophecy],16811,item:16811::::::::60,Mainspec /Need,4,PRIEST,Molten Core-40 Player,Shazzrah,[Dragonrider Boots],,2,FALSE,normal,Cloth,Feet,omfg first ever drop,Shazzrah
J̦rl-Netherwind,03/07/20,21:49:47,[Vis'kag the Bloodletter],17075,item:17075::::::::60,Mainspec/Need,2,ROGUE,Onyxia's Lair-40 Player,Onyxia,[Brutality Blade],[Dal'Rend's Tribal Guardian],1,FALSE,normal,One-Handed Swords,One-Hand,,Onyxia
J̦rl-Netherwind,3/29/20,18:56:17,[Nightslayer Cover],16821,item:16821::::::::60,Mainspec /Need,6,ROGUE,Molten Core-40 Player,Garr,[Mask of the Unforgiven],,2,FALSE,normal,Leather,Head,5 SET BONUS,Garr
J̦rl-Netherwind,4/12/20,17:27:13,[Bloodfang Boots],16906,item:16906::::::::60,Best Available,4,ROGUE,Blackwing Lair-40 Player,Broodlord Lashlayer,[Nightslayer Boots],,1,FALSE,normal,Leather,Feet,,Broodlord Lashlayer
J̦rl-Netherwind,4/16/20,20:40:33,[Nightslayer Shoulder Pads],16823,item:16823::::::::60,Best Available,6,ROGUE,Molten Core-40 Player,Sulfuron Harbinger,[Truestrike Shoulders],,1,FALSE,normal,Leather,Shoulder,gives 5 set,Sulfuron Harbinger
J̦rl-Netherwind,4/26/20,15:50:03,[Bloodfang Belt],16910,item:16910::::::::60,Best Available,5,ROGUE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,[Nightslayer Belt],,1,FALSE,normal,Leather,Waist,,Vaelastrasz the Corrupt
